Date,Open,High,Low,Adj_Close,Vol.
2022-07-22,"6,794.30","6,816.10","6,758.50","6,791.50",822.11M
2022-07-21,"6,759.20","6,794.30","6,743.90","6,794.30",834.47M
2022-07-20,"6,649.60","6,775.40","6,649.60","6,759.20",746.00M
2022-07-19,"6,687.10","6,696.10","6,639.60","6,649.60",659.23M
2022-07-18,"6,605.60","6,687.10","6,605.60","6,687.10",528.42M
2022-07-15,"6,650.60","6,650.60","6,537.20","6,605.60",629.77M
2022-07-14,"6,621.60","6,659.30","6,611.70","6,650.60",735.50M
2022-07-13,"6,606.30","6,621.60","6,584.10","6,621.60",673.88M
2022-07-12,"6,602.20","6,649.70","6,601.90","6,606.30",618.65M
2022-07-11,"6,678.00","6,678.00","6,602.20","6,602.20",551.96M
2022-07-08,"6,648.00","6,715.00","6,648.00","6,678.00",586.43M
2022-07-07,"6,594.50","6,648.00","6,594.50","6,648.00",700.45M
2022-07-06,"6,629.30","6,651.60","6,587.90","6,594.50",752.35M
2022-07-05,"6,612.60","6,657.00","6,596.80","6,629.30",532.85M
2022-07-04,"6,539.90","6,659.00","6,539.90","6,612.60",574.59M
2022-07-01,"6,568.10","6,623.90","6,539.90","6,539.90",638.96M
2022-06-30,"6,700.20","6,700.20","6,568.10","6,568.10",880.81M
2022-06-29,"6,763.60","6,763.60","6,666.40","6,700.20",789.05M
2022-06-28,"6,706.00","6,763.60","6,706.00","6,763.60",754.45M
2022-06-27,"6,578.70","6,716.10","6,578.70","6,706.00",897.16M
2022-06-24,"6,528.40","6,585.10","6,501.60","6,578.70",829.30M
2022-06-23,"6,508.50","6,551.80","6,495.00","6,528.40",906.15M
2022-06-22,"6,523.80","6,557.80","6,493.20","6,508.50",914.87M
2022-06-21,"6,433.40","6,537.70","6,433.40","6,523.80",884.89M
2022-06-20,"6,474.80","6,493.40","6,407.00","6,433.40",857.63M
2022-06-17,"6,591.10","6,591.10","6,410.40","6,474.80",1.73B
2022-06-16,"6,601.00","6,671.60","6,583.90","6,591.10",948.24M
2022-06-15,"6,686.00","6,686.00","6,589.70","6,601.00",942.01M
2022-06-14,"6,932.00","6,932.00","6,566.10","6,686.00",1.28B
2022-06-10,"7,019.70","7,019.70","6,926.90","6,932.00",747.78M
2022-06-09,"7,121.10","7,121.10","7,019.70","7,019.70",677.26M
2022-06-08,"7,095.70","7,162.10","7,095.70","7,121.10",764.08M
2022-06-07,"7,206.30","7,209.00","7,082.20","7,095.70",691.35M
2022-06-06,"7,238.80","7,238.80","7,195.20","7,206.30",503.01M
2022-06-03,"7,175.90","7,254.60","7,175.90","7,238.80",639.35M
2022-06-02,"7,234.00","7,234.00","7,150.50","7,175.90",740.28M
2022-06-01,"7,211.20","7,238.20","7,204.40","7,234.00",905.28M
2022-05-31,"7,286.60","7,288.40","7,211.20","7,211.20",1.24B
2022-05-30,"7,182.70","7,286.60","7,182.70","7,286.60",636.97M
2022-05-27,"7,105.90","7,196.70","7,105.90","7,182.70",562.13M
2022-05-26,"7,155.20","7,181.40","7,105.90","7,105.90",598.82M
2022-05-25,"7,218.60","7,218.60","7,134.60","7,155.20",654.39M
2022-05-24,"7,148.90","7,165.80","7,114.00","7,128.80",925.34M
2022-05-23,"7,145.60","7,196.00","7,135.80","7,148.90",559.69M
2022-05-20,"7,064.50","7,154.60","7,064.50","7,145.60",698.13M
2022-05-19,"7,182.70","7,182.70","7,037.60","7,064.50",771.90M
2022-05-18,"7,112.50","7,199.00","7,112.50","7,182.70",658.07M
2022-05-17,"7,093.00","7,129.50","7,093.00","7,112.50",630.91M
2022-05-16,"7,075.10","7,149.50","7,075.10","7,093.00",582.38M
2022-05-13,"6,941.00","7,075.10","6,941.00","7,075.10",725.15M
2022-05-12,"7,064.70","7,064.70","6,930.20","6,941.00",801.68M
2022-05-11,"7,051.20","7,064.70","6,991.80","7,064.70",702.38M
2022-05-10,"7,120.70","7,120.70","6,939.50","7,051.20",939.44M
2022-05-09,"7,205.60","7,205.60","7,092.30","7,120.70",692.26M
2022-05-06,"7,364.70","7,364.70","7,161.40","7,205.60",861.01M
2022-05-05,"7,304.70","7,369.10","7,304.70","7,364.70",808.19M
2022-05-04,"7,316.20","7,366.80","7,299.90","7,304.70",726.55M
2022-05-03,"7,347.00","7,355.20","7,299.30","7,316.20",580.71M
2022-05-02,"7,435.00","7,435.00","7,301.60","7,347.00",565.05M
2022-04-29,"7,356.90","7,435.00","7,356.90","7,435.00",748.50M
2022-04-28,"7,261.20","7,356.90","7,261.20","7,356.90",729.41M
2022-04-27,"7,318.00","7,318.00","7,233.30","7,261.20",827.39M
2022-04-26,"7,473.30","7,473.30","7,290.80","7,318.00",847.12M
2022-04-22,"7,592.80","7,592.80","7,455.00","7,473.30",749.71M
2022-04-21,"7,569.20","7,604.70","7,560.60","7,592.80",602.21M
2022-04-20,"7,565.20","7,624.80","7,564.10","7,569.20",640.29M
2022-04-19,"7,523.50","7,584.90","7,523.50","7,565.20",585.87M
2022-04-14,"7,479.00","7,529.20","7,479.00","7,523.40",683.77M
2022-04-13,"7,454.00","7,489.00","7,454.00","7,479.00",646.95M
2022-04-12,"7,485.20","7,485.20","7,430.80","7,454.00",578.97M
2022-04-11,"7,478.00","7,524.90","7,471.30","7,485.20",552.40M
2022-04-08,"7,442.80","7,492.30","7,442.80","7,478.00",610.11M
2022-04-07,"7,490.10","7,490.10","7,437.60","7,442.80",644.37M
2022-04-06,"7,527.90","7,527.90","7,437.50","7,490.10",713.80M
2022-04-05,"7,513.70","7,573.40","7,509.30","7,527.90",634.41M
2022-04-04,"7,493.80","7,536.80","7,493.80","7,513.70",572.31M
2022-04-01,"7,499.60","7,514.00","7,476.70","7,493.80",653.75M
2022-03-31,"7,514.50","7,556.60","7,499.60","7,499.60",825.64M
2022-03-30,"7,464.30","7,533.10","7,464.30","7,514.50",713.39M
2022-03-29,"7,412.40","7,480.90","7,409.90","7,464.30",651.29M
2022-03-28,"7,406.20","7,446.70","7,406.20","7,412.40",566.97M
2022-03-25,"7,387.10","7,431.30","7,387.10","7,406.20",679.65M
2022-03-24,"7,377.90","7,399.40","7,356.20","7,387.10",648.88M
2022-03-23,"7,341.10","7,386.90","7,329.80","7,377.90",579.43M
2022-03-22,"7,278.50","7,377.30","7,278.50","7,341.10",661.00M
2022-03-21,"7,294.40","7,350.40","7,278.50","7,278.50",563.68M
2022-03-18,"7,250.80","7,294.40","7,245.90","7,294.40",1.54B
2022-03-17,"7,175.20","7,296.80","7,175.20","7,250.80",840.84M
2022-03-16,"7,097.40","7,180.20","7,097.40","7,175.20",704.76M
2022-03-15,"7,149.40","7,149.40","7,080.70","7,097.40",788.99M
2022-03-14,"7,063.60","7,149.40","7,063.60","7,149.40",610.15M
2022-03-11,"7,130.80","7,151.40","7,051.20","7,063.60",816.85M
2022-03-10,"7,053.00","7,161.00","7,039.70","7,130.80",1.01B
2022-03-09,"6,980.30","7,072.00","6,968.90","7,053.00",1.04B
2022-03-08,"7,038.60","7,053.50","6,980.30","6,980.30",973.85M
2022-03-07,"7,110.80","7,133.70","7,010.50","7,038.60",1.02B
2022-03-04,"7,151.40","7,151.40","7,025.20","7,110.80",972.29M
2022-03-03,"7,116.70","7,198.10","7,116.70","7,151.40",856.24M
2022-03-02,"7,096.50","7,121.50","7,041.90","7,116.70",941.03M
2022-03-01,"7,049.10","7,159.90","7,049.10","7,096.50",812.87M
2022-02-28,"6,997.80","7,049.60","6,979.40","7,049.10",1.01B
2022-02-25,"6,990.60","7,045.60","6,974.90","6,997.80",888.81M
2022-02-24,"7,205.70","7,205.70","6,959.30","6,990.60",1.11B
2022-02-23,"7,161.30","7,205.70","7,145.40","7,205.70",788.38M
2022-02-22,"7,233.60","7,233.60","7,108.80","7,161.30",863.79M
2022-02-21,"7,220.40","7,248.80","7,156.30","7,233.60",712.02M
2022-02-18,"7,296.20","7,296.20","7,201.90","7,221.70",764.00M
