Date,Open,High,Low,Adj_Close
2021-12-07,"2,616.20","2,657.50","2,614.40","2,653.30"
2021-12-06,"2,559.40","2,593.90","2,546.00","2,590.50"
2021-12-03,"2,568.90","2,569.40","2,524.90","2,535.90"
2021-12-02,"2,554.30","2,565.10","2,530.10","2,542.80"
2021-12-01,"2,546.00","2,584.10","2,540.60","2,578.20"
2021-11-30,"2,510.80","2,550.90","2,494.80","2,523.00"
2021-11-29,"2,559.20","2,574.80","2,539.10","2,546.40"
2021-11-26,"2,552.10","2,580.90","2,524.00","2,526.20"
2021-11-25,"2,663.60","2,669.70","2,643.80","2,649.90"
2021-11-24,"2,643.30","2,654.60","2,619.80","2,651.40"
2021-11-23,"2,657.50","2,664.30","2,631.60","2,634.50"
2021-11-22,"2,676.30","2,683.40","2,659.40","2,677.10"
2021-11-19,"2,703.20","2,706.40","2,643.30","2,659.90"
2021-11-18,"2,706.90","2,712.30","2,684.90","2,691.20"
2021-11-17,"2,707.80","2,713.20","2,703.00","2,707.40"
2021-11-16,"2,721.10","2,721.60","2,705.40","2,706.90"
2021-11-15,"2,694.70","2,712.80","2,693.40","2,711.80"
2021-11-12,"2,691.50","2,699.30","2,683.40","2,698.60"
2021-11-11,"2,678.00","2,690.80","2,674.60","2,687.80"
2021-11-10,"2,682.40","2,686.10","2,667.80","2,681.40"
2021-11-09,"2,691.70","2,697.10","2,670.70","2,670.70"
2021-11-08,"2,707.40","2,708.10","2,695.70","2,695.70"
2021-11-05,"2,677.60","2,711.80","2,676.60","2,705.40"
2021-11-04,"2,676.10","2,680.50","2,666.30","2,675.60"
2021-11-03,"2,641.30","2,662.40","2,640.60","2,661.90"
2021-11-02,"2,643.10","2,649.20","2,636.20","2,644.80"
2021-11-01,"2,630.60","2,656.00","2,627.40","2,646.00"
2021-10-29,"2,600.50","2,619.30","2,589.80","2,616.40"
2021-10-28,"2,610.10","2,620.10","2,602.70","2,614.90"
2021-10-27,"2,619.80","2,620.80","2,602.70","2,608.10"
2021-10-26,"2,613.90","2,630.60","2,610.10","2,622.30"
2021-10-25,"2,586.30","2,609.10","2,584.10","2,606.60"
2021-10-22,"2,584.80","2,595.60","2,582.20","2,584.10"
2021-10-21,"2,566.50","2,589.80","2,565.80","2,580.40"
2021-10-20,"2,554.80","2,587.80","2,553.60","2,584.40"
2021-10-19,"2,555.80","2,566.00","2,552.80","2,561.20"
2021-10-18,"2,560.70","2,566.00","2,543.10","2,553.80"
2021-10-15,"2,558.20","2,568.50","2,548.40","2,562.10"
2021-10-14,"2,525.90","2,545.70","2,521.80","2,541.60"
2021-10-13,"2,505.90","2,518.60","2,499.80","2,509.80"
2021-10-12,"2,478.50","2,514.20","2,474.60","2,512.70"
2021-10-11,"2,512.00","2,519.60","2,495.10","2,507.30"
2021-10-08,"2,519.30","2,524.00","2,508.30","2,519.10"
2021-10-07,"2,506.80","2,519.10","2,490.70","2,513.70"
2021-10-06,"2,488.80","2,488.80","2,448.20","2,476.80"
2021-10-05,"2,468.70","2,508.30","2,467.00","2,507.80"
2021-10-04,"2,468.20","2,487.30","2,455.80","2,461.30"
2021-10-01,"2,453.30","2,488.80","2,443.00","2,476.50"
2021-09-30,"2,505.20","2,507.80","2,470.70","2,483.40"
2021-09-29,"2,484.30","2,497.10","2,472.60","2,487.30"
2021-09-28,"2,533.00","2,536.20","2,472.60","2,473.30"
2021-09-27,"2,529.60","2,531.80","2,514.70","2,526.40"
2021-09-24,"2,513.40","2,521.50","2,505.40","2,510.80"
2021-09-23,"2,504.40","2,522.00","2,498.10","2,520.80"
2021-09-22,"2,467.20","2,485.60","2,456.50","2,484.10"
2021-09-21,"2,437.70","2,457.90","2,430.60","2,449.60"
2021-09-20,"2,452.10","2,453.10","2,408.60","2,420.30"
2021-09-17,"2,522.50","2,523.00","2,477.20","2,481.20"
2021-09-16,"2,501.90","2,517.10","2,499.50","2,504.90"
2021-09-15,"2,511.20","2,511.20","2,475.10","2,483.80"
2021-09-14,"2,502.20","2,519.10","2,497.10","2,509.30"
2021-09-13,"2,487.80","2,507.30","2,486.30","2,498.10"
2021-09-10,"2,539.60","2,542.10","2,507.80","2,512.20"
2021-09-09,"2,515.20","2,543.30","2,507.80","2,534.50"
2021-09-08,"2,525.20","2,548.90","2,514.70","2,530.80"
2021-09-07,"2,566.00","2,569.40","2,546.40","2,549.40"
2021-09-06,"2,556.20","2,572.40","2,556.20","2,569.20"
2021-09-03,"2,564.10","2,568.00","2,539.60","2,550.40"
2021-09-02,"2,558.70","2,568.20","2,557.70","2,565.60"
