Date,Open,High,Low,Adj_Close,Volume
12-Apr-22,"67,405.96","67,584.28","66,455.86","66,780.07",111.14M
11-Apr-22,"67,747.07","67,805.59","67,091.77","67,405.96",119.84M
08-Apr-22,"67,003.12","67,901.41","67,003.12","67,747.07",125.82M
07-Apr-22,"67,308.61","67,411.97","66,782.28","67,003.12",102.18M
06-Apr-22,"68,343.65","68,415.52","66,976.23","67,308.61",127.25M
05-Apr-22,"68,940.52","68,940.52","68,133.57","68,343.65",133.67M
04-Apr-22,"68,934.93","69,379.77","68,905.46","68,940.52",92.36M
01-Apr-22,"68,507.85","69,006.12","67,770.76","68,934.93",109.82M
31-Mar-22,"68,529.72","68,656.79","67,836.16","68,507.85",115.36M
30-Mar-22,"67,911.15","68,529.72","67,697.09","68,529.72",107.68M
29-Mar-22,"67,436.21","68,194.63","67,436.21","67,911.15",137.09M
28-Mar-22,"67,578.28","67,808.09","67,191.73","67,436.21",114.02M
25-Mar-22,"67,690.25","67,914.69","67,373.93","67,578.28",96.55M
24-Mar-22,"68,235.42","68,792.29","67,617.11","67,690.25",133.90M
23-Mar-22,"69,145.89","69,390.14","68,145.09","68,235.42",133.29M
22-Mar-22,"68,275.27","69,375.50","68,275.27","69,145.89",151.70M
18-Mar-22,"67,570.25","68,384.62","67,570.25","68,275.27",0
17-Mar-22,"66,971.88","67,872.27","66,971.88","67,570.25",344.57M
16-Mar-22,"64,292.26","66,971.88","64,292.26","66,971.88",196.83M
15-Mar-22,"65,500.56","65,500.56","63,212.69","64,292.26",178.70M
14-Mar-22,"67,331.10","67,331.10","65,064.82","65,500.56",160.65M
11-Mar-22,"67,572.11","68,326.87","67,309.33","67,331.10",154.08M
10-Mar-22,"66,484.69","67,591.39","66,484.69","67,572.11",181.58M
09-Mar-22,"66,302.29","67,184.31","66,183.82","66,484.69",178.45M
08-Mar-22,"67,143.64","67,143.64","65,949.83","66,302.29",190.02M
07-Mar-22,"68,357.85","68,615.12","67,143.64","67,143.64",224.10M
04-Mar-22,"70,882.48","70,882.48","67,656.92","68,357.85",214.36M
03-Mar-22,"71,057.56","71,814.18","70,813.67","70,882.48",161.50M
02-Mar-22,"70,584.10","71,279.62","70,280.85","71,057.56",190.58M
01-Mar-22,"69,624.29","70,773.74","69,500.82","70,584.10",168.04M
28-Feb-22,"67,719.42","69,624.29","67,501.64","69,624.29",273.55M
25-Feb-22,"67,235.99","67,750.57","66,882.76","67,719.42",114.36M
24-Feb-22,"68,369.73","68,369.73","66,817.44","67,235.99",204.06M
23-Feb-22,"68,639.97","68,694.41","68,134.89","68,369.73",104.01M
22-Feb-22,"68,876.90","69,058.61","67,619.66","69,058.61",116.06M
21-Feb-22,"69,650.10","70,014.40","68,764.76","68,876.90",77.95M
18-Feb-22,"69,406.88","69,738.60","69,200.02","69,650.10",100.46M
17-Feb-22,"69,735.63","70,286.77","69,212.71","69,406.88",113.80M
16-Feb-22,"69,169.36","69,995.41","69,169.36","69,735.63",111.27M
15-Feb-22,"69,130.81","69,760.50","69,071.30","69,169.36",142.58M
14-Feb-22,"69,681.32","69,862.36","68,853.63","69,130.81",119.81M
11-Feb-22,"69,944.22","69,951.56","68,968.40","69,681.32",101.22M
10-Feb-22,"70,105.79","70,636.87","69,498.13","69,944.22",103.77M
09-Feb-22,"69,526.76","70,531.46","69,478.85","70,105.79",114.55M
08-Feb-22,"69,197.64","70,049.93","69,146.60","69,526.76",112.17M
07-Feb-22,"68,678.91","69,335.31","68,499.20","69,197.64",85.04M
04-Feb-22,"68,461.21","68,961.86","68,224.84","68,678.91",82.83M
03-Feb-22,"68,655.58","69,218.48","68,429.55","68,461.21",91.66M
02-Feb-22,"68,374.94","69,155.86","68,368.72","68,655.58",88.24M
01-Feb-22,"67,820.89","68,726.22","67,800.17","68,374.94",100.51M
31-Jan-22,"67,021.38","68,454.58","67,021.38","67,820.89",139.92M
28-Jan-22,"67,070.04","67,665.18","66,431.78","67,021.38",83.26M
27-Jan-22,"67,363.61","67,363.61","65,817.03","67,070.04",94.86M
26-Jan-22,"65,869.53","67,420.50","65,869.53","67,363.61",113.50M
25-Jan-22,"65,653.18","66,648.24","65,653.18","65,869.53",109.20M
24-Jan-22,"68,186.16","68,186.16","65,653.18","65,653.18",113.38M
21-Jan-22,"69,586.74","69,592.75","67,968.93","68,186.16",82.95M
20-Jan-22,"69,512.97","70,135.24","69,070.09","69,586.74",102.12M
19-Jan-22,"68,281.90","69,522.82","68,281.90","69,512.97",92.66M
18-Jan-22,"68,889.24","68,889.24","67,927.20","68,281.90",94.74M
17-Jan-22,"68,448.15","68,907.66","68,409.01","68,889.24",77.66M
14-Jan-22,"69,187.73","69,187.73","68,236.76","68,448.15",74.47M
