Date,Open,High,Low,Adj_Close,Vol.
07/20/2022,"11,810.10","11,995.29","11,780.48","11,864.34",217.39M
07/19/2022,"11,582.51","11,761.41","11,530.60","11,761.35",190.99M
07/18/2022,"11,297.43","11,555.08","11,296.62","11,555.08",163.24M
07/17/2022,"11,308.20","11,365.45","11,239.13","11,292.41",107.28M
07/14/2022,"11,280.09","11,316.89","11,096.74","11,163.02",121.22M
07/13/2022,"11,418.81","11,531.08","11,289.75","11,289.75",135.37M
07/06/2022,"11,261.91","11,420.19","11,223.69","11,416.54",144.20M
07/05/2022,"11,361.22","11,413.45","11,311.12","11,344.57",143.36M
07/04/2022,"11,466.33","11,480.42","11,294.91","11,358.40",136.34M
07/03/2022,"11,590.31","11,609.93","11,451.60","11,464.98",124.21M
06/30/2022,"11,740.17","11,756.30","11,523.25","11,523.25",177.87M
06/29/2022,"11,654.86","11,783.99","11,618.80","11,727.19",167.17M
06/28/2022,"11,425.50","11,671.15","11,380.67","11,671.15",149.62M
06/27/2022,"11,573.04","11,588.53","11,406.07","11,427.26",189.52M
06/26/2022,"11,515.18","11,566.69","11,480.31","11,513.01",155.31M
06/23/2022,"11,348.21","11,379.04","11,229.55","11,310.67",143.59M
06/22/2022,"11,641.56","11,641.56","11,319.88","11,319.88",219.79M
06/21/2022,"11,441.71","11,683.32","11,439.61","11,659.64",173.78M
06/20/2022,"11,298.97","11,456.11","11,217.91","11,361.53",155.67M
06/19/2022,"11,668.14","11,676.39","11,299.18","11,299.18",178.91M
06/16/2022,"12,029.14","12,116.94","11,809.80","11,824.42",219.61M
06/15/2022,"12,036.02","12,131.74","11,978.23","11,978.51",184.15M
06/14/2022,"12,038.42","12,114.78","11,708.78","12,020.68",231.21M
06/13/2022,"12,278.52","12,286.19","11,983.30","12,053.44",209.74M
06/12/2022,"12,530.66","12,530.66","12,322.35","12,322.35",173.57M
06/09/2022,"12,597.60","12,612.74","12,497.45","12,603.89",151.19M
06/08/2022,"12,690.72","12,748.90","12,584.27","12,596.30",141.34M
06/07/2022,"12,832.04","12,838.83","12,651.31","12,662.75",152.06M
06/06/2022,"12,679.49","12,851.70","12,677.87","12,821.96",180.13M
