,location,Cases,deaths,new_vaccinations,hosp_patients,median_age,extreme_poverty,male_smokers,female_smokers,total_smokers,diabetes_prevalence,population,population_density,life_expectancy
52,Solomon Islands,28.961021505376344,0.5620437956204379,0.0,0.0,20.799999999999724,25.100000000000044,0.0,0.0,0.0,18.680000000000184,707851.0,21.841000000000243,73.0
53,Sri Lanka,668.3565737051792,17.79003181336161,100266.42686567164,0.0,34.09999999999936,0.7000000000000065,27.0,0.30000000000000565,13.650000000000002,10.68000000000015,21773441.0,341.95499999999953,76.98000000000057
54,Kyrgyzstan,216.5781741867786,3.6688034188034186,6216.055555555556,0.0,26.299999999999557,1.4000000000000088,50.5,3.599999999999941,27.04999999999997,7.1099999999998955,6527743.0,32.3329999999995,71.44999999999874
55,India,44647.039,544.4822546972861,3438957.914893617,0.0,28.200000000000475,21.200000000000397,20.599999999999905,1.9000000000000334,11.24999999999997,10.389999999999988,1407563842.0,450.4189999999954,69.66000000000179
56,El Salvador,212.27865404837013,4.5,53378.88172043011,0.0,27.59999999999961,2.2000000000000273,18.799999999999667,2.5,10.649999999999833,8.869999999999933,6314167.0,307.8109999999934,73.32000000000018
57,Nepal,995.5462686567164,13.44407158836689,81009.31443298969,0.0,25.0,15.0,37.79999999999996,9.5,23.64999999999998,7.260000000000154,30034989.0,204.42999999999532,70.77999999999916
58,Morocco,1305.9618163054695,16.9417273673257,187712.68493150684,0.0,29.599999999999497,1.0,47.09999999999915,0.7999999999999889,23.94999999999957,7.140000000000114,37076584.0,80.08000000000136,76.67999999999925
59,Philippines,4006.599198396794,64.14759036144578,426459.6153846154,0.0,25.200000000000447,0.0,40.80000000000016,7.800000000000126,24.300000000000143,7.069999999999919,113880328.0,351.87300000000386,71.23000000000097
60,Vanuatu,16.798319327731093,0.02527075812274368,0.0,0.0,23.100000000000243,13.199999999999985,34.5,2.7999999999999683,18.649999999999984,12.02000000000022,319136.0,22.662000000000173,70.47000000000068
61,Asia,185729.34985133796,1469.8097125867196,12975910.133333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4693235454.0,0.0,0.0
62,Honduras,478.0418410041841,11.841489361702127,32718.0,0.0,24.900000000000283,16.0,0.0,2.0,2.0,7.210000000000033,10278346.0,82.80499999999898,75.2699999999991
